Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,52.049999,52.049999,44.779999,48.000000,47.479557,61838600
2020-03-02,47.700001,50.599998,43.660000,46.480000,45.976036,83452700
2020-03-09,43.080002,46.160000,32.000000,40.880001,40.436756,163877500
2020-03-16,34.040001,37.950001,29.260000,32.439999,32.088264,182441500
2020-03-23,33.070000,39.799999,29.700001,36.910000,36.509804,107879300
2020-03-30,36.750000,38.060001,33.160000,35.849998,35.754471,81944700
2020-04-06,38.669998,41.200001,36.660000,39.009998,38.906048,61144300
2020-04-13,38.540001,41.490002,37.740002,39.529999,39.424664,61709200
2020-04-20,38.180000,43.259998,35.360001,37.000000,36.901405,77569900
2020-04-27,38.000000,42.410000,37.860001,38.419998,38.317619,67317600
2020-05-04,37.869999,39.959999,36.849998,37.759998,37.659378,52188700
2020-05-11,37.599998,40.470001,35.369999,39.540001,39.434639,86851500
2020-05-18,40.759998,44.070000,40.080002,43.880001,43.763073,70486100
2020-05-25,45.150002,47.980000,44.619999,45.549999,45.428623,75541700
2020-06-01,44.830002,51.970001,44.830002,49.070000,48.939243,67934600
2020-06-08,49.349998,51.820000,48.799999,49.849998,49.717163,51500000
2020-06-15,49.000000,51.490002,48.400002,51.000000,50.864101,61033800
2020-06-22,51.150002,55.189999,49.799999,53.450001,53.307575,53269800
2020-06-29,53.820000,57.200001,53.430000,56.500000,56.349445,42806800
2020-07-06,57.500000,60.970001,56.250000,59.950001,59.950001,51025200
2020-07-13,60.349998,64.050003,59.599998,63.889999,63.889999,57881200
2020-07-20,64.300003,69.750000,63.860001,65.349998,65.349998,57479400
2020-07-27,65.400002,66.889999,62.689999,63.439999,63.439999,52421200
2020-08-03,63.500000,65.000000,61.779999,62.549999,62.549999,50492200
2020-08-10,62.599998,63.320000,59.650002,60.570000,60.570000,61651200
2020-08-17,60.889999,62.419998,57.130001,62.340000,62.340000,61345900
2020-08-21,0.000000,0.000000,0.000000,60.970001,60.970001,0
