Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,16.250000,16.250000,14.010000,14.540000,14.540000,179506400
2020-03-02,14.590000,15.550000,14.400000,15.320000,15.320000,183281000
2020-03-09,14.650000,14.980000,11.390000,12.700000,12.700000,226388000
2020-03-16,11.390000,12.490000,10.360000,12.050000,12.050000,288056300
2020-03-23,12.280000,13.280000,11.060000,12.490000,12.490000,201690000
2020-03-30,12.600000,13.020000,11.160000,11.390000,11.390000,123489500
2020-04-06,12.000000,12.970000,11.680000,12.100000,12.100000,103344500
2020-04-13,12.110000,12.590000,11.400000,11.600000,11.600000,116952300
2020-04-20,11.400000,11.850000,10.680000,11.110000,11.110000,119386000
2020-04-27,11.350000,12.180000,11.250000,11.340000,11.340000,116581200
2020-05-04,11.140000,12.300000,11.100000,12.040000,12.040000,202940800
2020-05-11,12.040000,12.350000,11.190000,11.640000,11.640000,166691800
2020-05-18,11.990000,12.410000,11.670000,11.740000,11.740000,112353900
2020-05-25,12.010000,13.520000,12.010000,12.480000,12.480000,167444100
2020-06-01,12.320000,14.330000,12.260000,14.050000,14.050000,146448000
2020-06-08,14.340000,14.830000,13.210000,13.570000,13.570000,128515200
2020-06-15,13.190000,14.000000,13.070000,13.840000,13.840000,147377200
2020-06-22,13.700000,14.320000,13.430000,13.950000,13.950000,101451600
2020-06-29,14.090000,14.800000,13.880000,14.140000,14.140000,111878700
2020-07-06,14.380000,14.990000,14.110000,14.850000,14.850000,138057500
2020-07-13,14.910000,14.950000,13.660000,14.160000,14.160000,178093400
2020-07-20,14.110000,15.130000,14.020000,14.930000,14.930000,164991400
2020-07-27,14.930000,15.920000,13.760000,13.900000,13.900000,302776300
2020-08-03,13.940000,13.990000,13.010000,13.310000,13.310000,202993800
2020-08-10,13.380000,13.650000,13.050000,13.260000,13.260000,158209900
2020-08-17,13.210000,13.380000,12.580000,12.880000,12.880000,101057400
2020-08-21,0.000000,0.000000,0.000000,12.970000,12.970000,0
