Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,32.680000,32.680000,30.570000,32.000000,31.815884,152307200
2020-03-02,31.930000,32.290001,29.320000,29.870001,29.698141,189031900
2020-03-09,28.000000,29.700001,22.410000,26.209999,26.071421,288470900
2020-03-16,23.500000,26.709999,21.129999,22.049999,21.933414,363697900
2020-03-23,22.260000,24.820000,20.000000,22.969999,22.848545,241574300
2020-03-30,23.110001,24.389999,20.010000,20.660000,20.550762,191743900
2020-04-06,22.139999,24.700001,21.889999,23.500000,23.390942,155609400
2020-04-13,23.450001,25.150000,22.610001,23.219999,23.112240,146449300
2020-04-20,22.719999,23.129999,20.370001,20.879999,20.783100,186909800
2020-04-27,21.540001,24.120001,21.100000,22.770000,22.664330,174509400
2020-05-04,21.950001,23.370001,21.129999,22.320000,22.216417,201092300
2020-05-11,22.170000,23.030001,20.730000,21.629999,21.543812,215715000
2020-05-18,22.450001,23.350000,21.360001,22.959999,22.868511,243937800
2020-05-25,23.910000,24.420000,22.709999,23.040001,22.948196,195552200
2020-06-01,22.830000,28.700001,22.700001,27.260000,27.151381,264752300
2020-06-08,27.610001,28.480000,25.620001,26.059999,25.973068,186850100
2020-06-15,25.100000,28.240000,25.030001,28.090000,27.996298,227279600
2020-06-22,28.040001,28.240000,25.510000,25.709999,25.624239,232292500
2020-06-29,25.900000,27.250000,25.450001,26.500000,26.411604,167471600
2020-07-06,27.120001,27.850000,26.320000,27.200001,27.125256,195811600
2020-07-13,27.450001,27.799999,26.440001,27.219999,27.145199,137116300
2020-07-20,27.250000,28.040001,26.110001,26.469999,26.397259,170947800
2020-07-27,26.629999,28.490000,26.540001,26.889999,26.816107,160376300
2020-08-03,27.100000,27.709999,25.360001,25.480000,25.409981,259456900
2020-08-10,25.520000,26.290001,24.370001,24.730000,24.675808,177481900
2020-08-17,24.719999,24.750000,23.540001,24.120001,24.067144,140481200
2020-08-21,0.000000,0.000000,0.000000,24.080000,24.080000,0
