Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,29.139999,29.139999,24.620001,25.340000,25.338125,278414500
2020-03-02,25.500000,27.480000,22.549999,22.830000,22.828310,409092500
2020-03-09,17.809999,18.650000,11.080000,15.400000,15.398860,884282700
2020-03-16,12.910000,14.100000,10.850000,12.000000,11.999112,744271600
2020-03-23,12.110000,15.190000,11.280000,13.300000,13.299016,611662100
2020-03-30,13.150000,16.549999,12.830000,15.340000,15.338866,759368600
2020-04-06,16.049999,18.690001,15.180000,16.820000,16.818754,566356000
2020-04-13,16.820000,17.299999,15.530000,16.129999,16.128805,503857100
2020-04-20,15.480000,17.430000,15.280000,15.950000,15.948819,504654300
2020-04-27,16.139999,18.480000,15.780000,18.049999,18.049149,352350800
2020-05-04,17.430000,18.580000,17.180000,18.480000,18.479633,367747100
2020-05-11,18.299999,18.930000,16.719999,17.150000,17.149660,477507300
2020-05-18,18.100000,19.770000,17.920000,18.670000,18.669630,424312600
2020-05-25,19.480000,20.340000,19.150000,20.340000,20.339596,375396300
2020-06-01,20.150000,23.030001,20.000000,22.100000,22.099562,471573400
2020-06-08,22.549999,22.590000,20.100000,20.600000,20.599592,398230500
2020-06-15,19.809999,22.219999,19.540001,21.469999,21.469574,405743400
2020-06-22,21.600000,22.070000,20.709999,20.840000,20.839586,292295100
2020-06-29,21.100000,22.250000,20.930000,21.980000,21.979563,284210000
2020-07-06,22.389999,22.860001,22.059999,22.510000,22.509554,268378300
2020-07-13,22.610001,23.430000,21.860001,22.740000,22.739548,322822900
2020-07-20,22.700001,23.600000,22.420000,22.730000,22.729548,300987300
2020-07-27,22.870001,23.320000,22.160000,22.200001,22.200001,282160400
2020-08-03,22.540001,23.530001,21.250000,22.790001,22.790001,376240400
2020-08-10,22.900000,23.879999,22.530001,22.670000,22.670000,268751100
2020-08-17,22.680000,23.320000,22.150000,22.730000,22.730000,208659400
2020-08-21,0.000000,0.000000,0.000000,22.559999,22.559999,0
