Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,56.450001,56.450001,47.220001,50.520000,50.188114,47833600
2020-03-02,50.700001,54.799999,43.049999,45.330002,45.032207,91625800
2020-03-09,39.020000,47.009998,30.570000,42.000000,41.724083,112555900
2020-03-16,35.000000,39.910000,25.000000,30.650000,30.448645,137135800
2020-03-23,32.500000,44.400002,29.559999,39.000000,38.743790,113396000
2020-03-30,41.000000,43.200001,33.330002,35.540001,35.306522,98673000
2020-04-06,38.400002,43.700001,37.220001,41.650002,41.376385,64691500
2020-04-13,41.090000,46.889999,40.669998,44.590000,44.297070,59995600
2020-04-20,43.720001,52.500000,42.680000,47.380001,47.271214,86375000
2020-04-27,49.230000,52.889999,48.000000,49.700001,49.585884,60461300
2020-05-04,48.000000,58.200001,47.310001,55.540001,55.412476,92861300
2020-05-11,55.439999,57.000000,53.799999,55.130001,55.003418,53197000
2020-05-18,56.490002,59.500000,55.099998,57.650002,57.517632,59163400
2020-05-25,59.200001,68.129997,58.880001,64.349998,64.202248,81223600
2020-06-01,64.000000,64.980003,58.520000,59.450001,59.313499,79475100
2020-06-08,60.009998,65.059998,59.299999,63.950001,63.803165,69230000
2020-06-15,62.840000,71.739998,62.220001,71.400002,71.236061,89271300
2020-06-22,71.620003,72.339996,68.199997,69.349998,69.190765,43633800
2020-06-29,70.169998,73.250000,68.349998,72.000000,71.834679,48062000
2020-07-06,72.809998,81.000000,71.070000,80.180000,79.995895,56926600
2020-07-13,80.610001,82.349998,79.139999,82.000000,81.811722,60335400
2020-07-20,82.360001,89.500000,77.209999,79.669998,79.487068,63335300
2020-07-27,80.650002,84.750000,78.500000,80.709999,80.524681,46956100
2020-08-03,81.209999,87.500000,79.760002,85.650002,85.550064,47585100
2020-08-10,86.180000,86.300003,79.199997,81.760002,81.760002,63508500
2020-08-17,82.500000,90.230003,79.389999,87.349998,87.349998,74083300
2020-08-21,0.000000,0.000000,0.000000,87.349998,87.349998,0
