Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,49.220001,49.220001,44.380001,46.860001,46.209347,73066200
2020-03-02,46.820000,47.490002,41.240002,42.299999,42.087952,98870400
2020-03-09,38.450001,40.689999,26.559999,36.490002,36.307079,154935300
2020-03-16,30.500000,33.290001,23.340000,24.600000,24.600000,168012200
2020-03-23,25.000000,31.670000,21.910000,28.240000,28.240000,124090400
2020-03-30,28.900000,29.500000,25.000000,25.500000,25.500000,89189900
2020-04-06,27.150000,30.879999,26.740000,29.650000,29.650000,80348400
2020-04-13,29.760000,31.650000,28.700001,29.580000,29.580000,91895800
2020-04-20,29.000000,29.629999,24.000000,24.299999,24.299999,133660700
2020-04-27,25.500000,30.209999,25.110001,28.500000,28.500000,123929500
2020-05-04,27.370001,28.549999,26.070000,27.100000,27.100000,96680200
2020-05-11,26.900000,28.129999,24.750000,26.150000,26.150000,127510500
2020-05-18,27.129999,29.290001,26.650000,28.510000,28.510000,115750200
2020-05-25,30.000000,32.930000,29.750000,30.840000,30.840000,129676900
2020-06-01,30.770000,38.169998,30.559999,35.200001,35.200001,126806200
2020-06-08,35.820000,37.080002,32.810001,33.349998,33.349998,107298400
2020-06-15,32.000000,35.130001,31.700001,33.939999,33.939999,115099700
2020-06-22,34.209999,34.419998,31.820000,31.820000,31.820000,89696600
2020-06-29,32.169998,34.240002,31.940001,33.500000,33.500000,88773100
2020-07-06,34.360001,34.990002,33.279999,34.139999,34.139999,85377700
2020-07-13,34.450001,35.459999,33.500000,35.459999,35.459999,70455400
2020-07-20,35.490002,36.200001,33.650002,33.950001,33.950001,80144200
2020-07-27,33.700001,35.950001,33.540001,33.580002,33.580002,97794700
2020-08-03,34.240002,35.040001,32.900002,34.110001,34.110001,95818800
2020-08-10,34.119999,34.889999,32.790001,33.180000,33.180000,67621900
2020-08-17,33.169998,33.349998,31.889999,32.650002,32.650002,69783300
2020-08-21,0.000000,0.000000,0.000000,32.950001,32.950001,0
